Catchment,Model,Cor,RMSE,NSE,VE,KGE,IPE
76.5_Nigardsbrevatn,HBV,0.982,1.721,0.964,0.882,0.98,0.031
76.5_Nigardsbrevatn,NNET,0.966,2.409,0.933,0.907,0.944,0.033
76.5_Nigardsbrevatn,SVM,0.991,1.186,0.982,0.896,0.944,0.03
76.5_Nigardsbrevatn,GBM,0.99,1.268,0.98,0.907,0.988,0.024
76.5_Nigardsbrevatn,M5,0.99,1.239,0.981,0.91,0.989,0.023
76.5_Nigardsbrevatn,M5C,0.992,1.117,0.984,0.924,0.985,0.02
55.4_Roykenes,HBV,0.881,3.198,0.764,0.692,0.878,0.106
55.4_Roykenes,NNET,0.929,2.459,0.844,0.753,0.901,0.079
55.4_Roykenes,SVM,0.927,2.537,0.804,0.786,0.901,0.079
55.4_Roykenes,GBM,0.923,2.56,0.822,0.774,0.878,0.08
55.4_Roykenes,M5,0.926,2.506,0.836,0.786,0.894,0.075
55.4_Roykenes,M5C,0.94,2.316,0.845,0.804,0.846,0.075
2.604_Elverum,HBV,0.99,33.125,0.98,0.937,0.988,0.017
2.604_Elverum,NNET,0.985,39.274,0.97,0.921,0.977,0.022
2.604_Elverum,SVM,0.96,65.255,0.91,0.927,0.977,0.031
2.604_Elverum,GBM,0.979,47.782,0.954,0.922,0.957,0.026
2.604_Elverum,M5,0.989,34.383,0.978,0.932,0.986,0.019
2.604_Elverum,M5C,0.991,31.479,0.981,0.939,0.986,0.016
2.32_Atna,HBV,0.989,1.586,0.978,0.941,0.988,0.016
2.32_Atna,NNET,0.988,1.565,0.975,0.942,0.984,0.017
2.32_Atna,SVM,0.964,2.642,0.923,0.918,0.984,0.03
2.32_Atna,GBM,0.976,2.18,0.949,0.917,0.959,0.027
2.32_Atna,M5,0.988,1.554,0.975,0.944,0.983,0.016
2.32_Atna,M5C,0.989,1.486,0.977,0.95,0.979,0.015
2.11_Narsjo,HBV,0.984,0.575,0.967,0.924,0.978,0.022
2.11_Narsjo,NNET,0.978,0.649,0.955,0.898,0.974,0.029
2.11_Narsjo,SVM,0.978,0.654,0.953,0.899,0.974,0.029
2.11_Narsjo,GBM,0.975,0.694,0.949,0.898,0.971,0.03
2.11_Narsjo,M5,0.984,0.56,0.967,0.915,0.976,0.024
2.11_Narsjo,M5C,0.986,0.52,0.972,0.935,0.982,0.019
